Company name,Company description,Industry,Work-life balance,Transparency,Toxic culture (R),Supportive culture,Strategy,Leadership,Innovation,Open to feedback,Agility
3M,Industrial conglomerate known for innovation,Industrials,-0.066430491,-0.475452788,-0.208192446,-0.041766744,-1.979745633,-0.680374267,0.09244682,-0.621825476,-1.034820942
7-Eleven,Global convenience store chain,Grocery Stores,-0.259798401,,0.025971506,-0.6990403,,0.215904289,,,
A&W Restaurants,Fast-food chain known for root beer,Restaurants & Fast Food,0.610936578,,1.349883077,2.308311649,,1.878193433,,,
AB InBev,World's largest beer producer,Consumer Products,-0.921735902,-0.144622154,-1.210834059,0.0827137,-0.401477903,-0.187719793,,-1.326305311,0.200843695
ABB,Automation and robotics,Industrials,0.319941254,0.542802428,0.969496092,1.566900491,0.094106262,0.792155479,-0.237650218,0.67948563,-0.381309845
Abbott,Healthcare and diagnostics company,Life Sciences & Biopharma,-0.899724724,0.043727505,-1.068616318,-1.007490178,0.621015897,-0.442805035,-0.408066206,0.049701975,0.062024776
AbbVie,Biopharma firm best known for Humira,Life Sciences & Biopharma,-0.059915596,-0.238398178,-0.354981094,-0.359020472,1.326781662,-0.097696226,-0.071840622,0.503595204,-0.876685816
Abercrombie & Fitch,Preppy American clothing brand,Specialty Retail & Apparel,0.672486408,,0.56091717,0.634155774,,0.898789043,,,
ABM Industries,Facility management and services,Outsourcing & Staffing,-0.374363267,,-0.639342211,-1.07553922,,-1.081290126,,,
Academy Sports + Outdoors,Sports and outdoor goods retailer,Specialty Retail & Apparel,-0.114106338,,-0.106508532,0.159191257,,-0.043169556,,,
Accenture,Consulting and technology services,Business Consulting,0.544642648,0.233807946,0.79762367,-1.159603731,0.106979884,0.136349989,,0.036506226,-0.584888442
Ace Hardware,Co-op of independent hardware stores,Specialty Retail & Apparel,1.119199321,,0.273524396,0.649571271,,1.71059534,,,
Acosta,Marketing agency for consumer goods,Business Services,2.060383483,-1.585123197,0.686542396,-0.825348381,1.218658179,-0.197603569,,-0.200992139,0.563256997
Actalent,Staffing firm for engineers and scientists,Outsourcing & Staffing,-1.19838897,,0.227725716,0.565463755,,0.333694094,,,
Adecco,Global staffing and HR services,Outsourcing & Staffing,0.53571192,,0.810606354,0.183804862,,0.446663882,,,
adidas,German sportswear brand,Specialty Retail & Apparel,0.646918403,,0.550680236,1.399862815,,0.410082661,,,
Adobe,Creator of Photoshop and digital tools,Software & IT Services,0.497063503,0.690587774,-0.098857715,0.783656928,-0.132724477,0.20893445,1.552811491,0.180150621,-2.396603423
ADP,Payroll and human resources,Business Services,-0.489467804,1.697550392,0.144198888,0.438344313,0.362103692,0.582559903,,0.356213507,-0.529422785
ADT,Home and business security,Outsourcing & Staffing,-0.024646872,,-0.990235433,-1.222689509,,-0.913891077,,,
Advance Auto Parts,American car parts retailer,Specialty Retail & Apparel,0.918495408,,-0.036241182,-1.296934767,,-0.48334263,,,
Advantage Solutions,Retail marketing and merchandising,Business Services,1.164098,-1.60433158,0.136965668,-0.8671741,-0.738909478,-0.052829024,,-0.351153938,0.951735056
Aerie,Intimates brand under American Eagle,Specialty Retail & Apparel,-0.362568975,,0.754570719,-0.279377968,,-0.581211924,,,
Aerotek,Technical and engineering staffing agency,Outsourcing & Staffing,-2.203601306,,-0.568465708,0.327120155,,-0.407754891,,,
Aflac,Insurer known for supplemental coverage,Insurance,0.640898631,0.560164138,-0.495318972,-0.021386012,1.219592113,0.60313366,,0.469276654,2.140059024
AIG,Multinational insurance and finance,Insurance,1.062606296,-0.101353687,1.069728861,-0.017938722,-0.3173436,0.174430749,,0.797195906,-1.286512747
Air Canada,Canada's largest airline,Travel & Leisure,-0.100801444,,-0.255713898,-1.559741544,,-0.832193559,,,
Air Liquide,French industrial gases company,Industrials,0.118676086,-0.560377615,-1.901391247,-1.182458057,0.564999963,-0.552066915,-0.420815283,-1.501405419,0.23197441
Airbus,Aircraft manufacturer,Industrials,0.749668574,0.405152672,1.882278634,1.091365315,0.930617765,0.817338438,0.734392066,0.870436152,-0.886515929
Alaska Airlines,Seattle-based American airline,Travel & Leisure,0.405783683,,0.942261294,1.015177389,,0.087399807,,,
Albertsons,Grocery chain based in the US,Grocery Stores,0.396540988,,0.346228209,-0.003299988,,0.337055541,,,
Alcon,Eye care and surgical products,Life Sciences & Biopharma,-0.129575464,0.307684821,-0.953607837,-0.769848158,0.346540043,-0.287627431,-0.66813568,-0.83645215,-0.487401424
ALDI,German discount supermarket chain,Grocery Stores,-1.751406317,,0.11764845,0.490289652,,0.194248375,,,
ALDO Group,Canadian footwear and accessories shop,Specialty Retail & Apparel,-0.153257026,,0.834912751,0.22795162,,0.486135097,,,
Alight,Cloud-based HR and payroll platform,Business Services,1.188802976,1.172126218,0.515676531,-0.659909004,-0.162372946,1.018543882,,0.408040476,0.017248686
Allianz,German multinational insurance company,Insurance,0.753402752,-0.624729455,0.182844999,-1.11462021,-0.035110473,-0.519972112,,0.235663269,-0.744689019
